SA2_MAIN11,SA2_5DIG11,SA2_NAME11,SA3_CODE11,SA3_NAME11,SA4_CODE11,SA4_NAME11,GCC_CODE11,GCC_NAME11,STE_CODE11,STE_NAME11,ALBERS_SQM,id,long_c,lat_c,population,SUA_NAME_2011,name,pop,long,lat,SUA,hex_long,hex_lat,hex_id,distance
210031238,21238,Glenroy - Hadfield,21003,Moreland - North,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,13431668.4222904,777,144.92916275582104,-37.70462347673221,29025,Melbourne,Glenroy - Hadfield,29025,144.92916275582104,-37.70462347673221,Melbourne,144.9343830336,-37.70856216950001,59931,634.8348469497332
211011253,21253,Ferntree Gully,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16198744.6272777,792,145.28412579333565,-37.88614452601033,28948,Melbourne,Ferntree Gully,28948,145.28412579333565,-37.88614452601033,Melbourne,145.2843830336,-37.84856216950001,58538,4171.491117362511
115011292,11292,Castle Hill,11501,Baulkham Hills,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,15104951.1852122,291,150.99912595561582,-33.729442218482575,28747,Sydney,Castle Hill,28747,150.99912595561582,-33.729442218482575,Sydney,150.9893830336,-33.71856216950002,99861,1507.2347878994362
128021532,11532,Engadine - Loftus,12802,Sutherland - Menai - Heathcote,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,15934924.3784583,531,151.02262493568952,-34.0493824191144,28732,Sydney,Engadine - Loftus,28732,151.02262493568952,-34.0493824191144,Sydney,151.0243830336,-34.06856216950001,96366,2133.6741189395857
118021349,11349,Kensington - Kingsford,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,4655802.37800337,348,151.2241861132253,-33.9180973730911,28566,Sydney,Kensington - Kingsford,28566,151.2241861132253,-33.9180973730911,Sydney,151.1643830336,-33.92856216950001,97766,5650.387803858338
207021158,21158,Doncaster East,20702,Manningham - West,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,11171984.0370544,697,145.16394293512857,-37.778641601621935,28356,Melbourne,Doncaster East,28356,145.16394293512857,-37.778641601621935,Melbourne,145.1793830336,-37.77856216950001,59236,1360.2421951926806
407021153,41153,Mount Gambier,40702,Limestone Coast,407,South Australia - South East,4RSAU,Rest of SA,4,South Australia,193288081.832933,1655,140.75685237030405,-37.816009102283545,28279,Mount Gambier,Mount Gambier,28279,140.75685237030405,-37.816009102283545,Mount Gambier,140.73438303359998,-37.84856216950001,58473,4119.188264631056
119021363,11363,Canterbury (South) - Campsie,11902,Canterbury,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,4777979.00611968,362,151.10554629884922,-33.914487405588304,28254,Sydney,Canterbury (South) - Campsie,28254,151.10554629884922,-33.914487405588304,Sydney,151.0943830336,-33.92856216950001,97765,1871.6023860824164
107011130,11130,Berkeley - Warrawong - Windang,10701,Dapto - Port Kembla,107,Illawarra,1RNSW,Rest of NSW,1,New South Wales,24972081.5937393,129,150.86609092642243,-34.48882437045531,28010,Wollongong,Berkeley - Warrawong - Windang,28010,150.86609092642243,-34.48882437045531,Wollongong,150.8843830336,-34.488562169500014,92170,1680.4312681964202
503021041,51041,Perth City,50302,Perth City,503,Perth - Inner,5GPER,Greater Perth,5,Western Australia,10916678.7287386,1715,115.86255502147874,-31.950381629880034,27978,Perth,Perth City,27978,115.86255502147874,-31.950381629880034,Perth,115.88438303359999,-31.968562169500014,116834,2884.829305076697
209041218,21218,Epping,20904,Whittlesea - Wallan,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,84889732.0991191,757,145.0075357845916,-37.60761563117606,27888,Melbourne,Epping,27888,145.0075357845916,-37.60761563117606,Melbourne,145.0043830336,-37.56856216950001,61330,4343.443283466538
206071144,21144,Richmond (Vic.),20607,Yarra,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6212358.83479459,683,145.00401853721286,-37.822865988933124,27841,Melbourne,Richmond (Vic.),27841,145.00401853721286,-37.822865988933124,Melbourne,145.0043830336,-37.84856216950001,58534,2852.296296993633
108041163,11163,Port Macquarie - East,10804,Port Macquarie,108,Mid North Coast,1RNSW,Rest of NSW,1,New South Wales,42082544.6028643,162,152.8986627667649,-31.478890965938646,27792,Port Macquarie,Port Macquarie - East,27792,152.8986627667649,-31.478890965938646,Port Macquarie,152.8793830336,-31.478562169500016,122256,1832.4031843404075
116011305,11305,Blacktown (South),11601,Blacktown,116,Sydney - Blacktown,1GSYD,Greater Sydney,1,New South Wales,8035078.97478858,304,150.8989496838993,-33.78175525075997,27723,Sydney,Blacktown (South),27723,150.8989496838993,-33.78175525075997,Sydney,150.8843830336,-33.78856216950001,99160,1546.0188238414507
126021502,11502,Ryde - Putney,12602,Ryde - Hunters Hill,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,8786874.20498995,501,151.11121123251107,-33.812999408118635,27561,Sydney,Ryde - Putney,27561,151.11121123251107,-33.812999408118635,Sydney,151.0943830336,-33.78856216950001,99163,3126.5654170396906
120031397,11397,Strathfield,12003,Strathfield - Burwood - Ashfield,120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales,8964256.17711619,396,151.08054910196367,-33.88308904947468,27505,Sydney,Strathfield,27505,151.08054910196367,-33.88308904947468,Sydney,151.1293830336,-33.85856216950002,98465,5274.158274851293
212041311,21311,Dandenong,21204,Dandenong,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,61795584.3485677,850,145.20968930643807,-38.03041026917275,27414,Melbourne,Dandenong,27414,145.20968930643807,-38.03041026917275,Melbourne,145.1793830336,-38.058562169500014,56440,4103.829566796506
125031485,11485,Merrylands - Holroyd,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,6719155.04489489,484,150.98019288930462,-33.83074771612853,27208,Sydney,Merrylands - Holroyd,27208,150.98019288930462,-33.83074771612853,Sydney,150.9543830336,-33.78856216950001,99161,5254.118606717596
125041488,11488,Girraween - Westmead,12504,Parramatta,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,8397986.765233,487,150.96167447772152,-33.80841844948096,27166,Sydney,Girraween - Westmead,27166,150.96167447772152,-33.80841844948096,Sydney,151.0243830336,-33.78856216950001,99162,6210.618019536172
112031255,11255,Tweed Heads - South,11203,Tweed Valley,112,Richmond - Tweed,1RNSW,Rest of NSW,1,New South Wales,46890255.9179989,254,153.5053702781256,-28.235813428593065,27083,Gold Coast - Tweed Heads,Tweed Heads - South,27083,153.5053702781256,-28.235813428593065,Gold Coast - Tweed Heads,153.5093830336,-28.258562169500014,154419,2551.673438182799
213041354,21354,Caroline Springs,21304,Melton - Bacchus Marsh,213,Melbourne - West,2GMEL,Greater Melbourne,2,Victoria,11492926.1689063,893,144.74416931881666,-37.74013352606692,26983,Melbourne,Caroline Springs,26983,144.74416931881666,-37.74013352606692,Melbourne,144.7243830336,-37.70856216950001,59928,3914.3252677507767
208021175,21175,Bentleigh East,20802,Glen Eira,208,Melbourne - Inner South,2GMEL,Greater Melbourne,2,Victoria,9187105.96122894,714,145.06669535910203,-37.922127239411694,26982,Melbourne,Bentleigh East,26982,145.06669535910203,-37.922127239411694,Melbourne,145.0393830336,-37.918562169500014,57836,2433.8924639776806
212021298,21298,Narre Warren,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,14177099.0800309,837,145.30576046530248,-38.01809863737819,26954,Melbourne,Narre Warren,26954,145.30576046530248,-38.01809863737819,Melbourne,145.2843830336,-37.988562169500014,57140,3778.0275730356707
106021115,11115,Maitland - East,10602,Maitland,106,Hunter Valley exc Newcastle,1RNSW,Rest of NSW,1,New South Wales,40589390.0405017,114,151.6003434120771,-32.75434280236163,26824,Newcastle - Maitland,Maitland - East,26824,151.6003434120771,-32.75434280236163,Newcastle - Maitland,151.6193830336,-32.738562169500014,109656,2499.3652160580086
119021365,11365,Lakemba - Wiley Park,11902,Canterbury,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,3580022.17471707,364,151.07281840460246,-33.92104722725944,26824,Sydney,Lakemba - Wiley Park,26824,151.07281840460246,-33.92104722725944,Sydney,151.0593830336,-33.99856216950002,97066,8687.330271372297
128011527,11527,Caringbah - Lilli Pilli,12801,Cronulla - Miranda - Caringbah,128,Sydney - Sutherland,1GSYD,Greater Sydney,1,New South Wales,9334913.32385571,526,151.1221916156896,-34.048741782213774,26815,Sydney,Caringbah - Lilli Pilli,26815,151.1221916156896,-34.048741782213774,Sydney,151.0943830336,-34.06856216950001,96367,3380.0636875084642
127031526,11526,Prestons - Lurnea,12703,Liverpool,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,17599094.6089063,525,150.87233873346932,-33.94526812407389,26775,Sydney,Prestons - Lurnea,26775,150.87233873346932,-33.94526812407389,Sydney,150.8143830336,-33.92856216950001,97761,5669.576157381261
116021311,11311,Quakers Hill - Acacia Gardens,11602,Blacktown - North,116,Sydney - Blacktown,1GSYD,Greater Sydney,1,New South Wales,8713480.05093188,310,150.8935422904541,-33.725140952974634,26738,Sydney,Quakers Hill - Acacia Gardens,26738,150.8935422904541,-33.725140952974634,Sydney,150.9193830336,-33.71856216950002,99860,2503.746440356021
212021296,21296,Endeavour Hills,21202,Casey - North,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,20058926.3161375,835,145.25851526201672,-37.96611740582901,26650,Melbourne,Endeavour Hills,26650,145.25851526201672,-37.96611740582901,Melbourne,145.2143830336,-37.988562169500014,57139,4608.809632911958
119041376,11376,Bexley,11904,Kogarah - Rockdale,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,5287846.84124755,375,151.12069812823142,-33.95532523551946,26629,Sydney,Bexley,26629,151.12069812823142,-33.95532523551946,Sydney,151.1293830336,-33.99856216950002,97067,4862.632124212155
124051471,11471,St Marys - Colyton,12405,St Marys,124,Sydney - Outer West and Blue Mountains,1GSYD,Greater Sydney,1,New South Wales,17428163.7759949,470,150.7805296252111,-33.765074387887495,26480,Sydney,St Marys - Colyton,26480,150.7805296252111,-33.765074387887495,Sydney,150.8143830336,-33.78856216950001,99159,4076.7520689745015
203021038,21038,Corio - Norlane,20302,Geelong,203,Geelong,2RVIC,Rest of Vic.,2,Victoria,80805763.1293593,577,144.32559455154916,-38.053748450395126,26469,Geelong,Corio - Norlane,26469,144.32559455154916,-38.053748450395126,Geelong,144.3393830336,-38.058562169500014,56428,1322.8639693828395
310011273,31273,Forest Lake - Doolandella,31001,Forest Lake - Oxley,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,15062692.4378009,1247,152.96571588699024,-27.61794283444148,26368,Brisbane,Forest Lake - Doolandella,26368,152.96571588699024,-27.61794283444148,Brisbane,152.98438303359998,-27.628562169500015,160702,2186.21769900251
205041097,21097,Traralgon,20504,Latrobe Valley,205,Latrobe - Gippsland,2RVIC,Rest of Vic.,2,Victoria,149645312.930779,636,146.5890659960738,-38.194454565776354,26307,Traralgon - Morwell,Traralgon,26307,146.5890659960738,-38.194454565776354,Traralgon - Morwell,146.57938303359998,-38.198562169500015,55062,962.986116742236
206011108,21108,Coburg,20601,Brunswick - Coburg,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,6933716.81629059,647,144.96406652277085,-37.74489891345546,26234,Melbourne,Coburg,26234,144.96406652277085,-37.74489891345546,Melbourne,144.9693830336,-37.77856216950001,59233,3765.6187129653986
117021326,11326,Marrickville,11702,Marrickville - Sydenham - Petersham,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,5812530.87789029,325,151.1556006098884,-33.91121262366517,26082,Sydney,Marrickville,26082,151.1556006098884,-33.91121262366517,Sydney,151.1993830336,-33.85856216950002,98466,7107.092195983117
120021388,11388,Leichhardt - Annandale,12002,Leichhardt,120,Sydney - Inner West,1GSYD,Greater Sydney,1,New South Wales,4472341.34440198,387,151.16101492870493,-33.881353278031135,25992,Sydney,Leichhardt - Annandale,25992,151.16101492870493,-33.881353278031135,Sydney,151.1643830336,-33.78856216950001,99164,10297.092096202861
118011343,11343,Double Bay - Bellevue Hill,11801,Eastern Suburbs - North,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,4713129.48237378,342,151.2493088782273,-33.87772086802993,25938,Sydney,Double Bay - Bellevue Hill,25938,151.2493088782273,-33.87772086802993,Sydney,151.3393830336,-33.85856216950002,98468,8601.00816976859
211011252,21252,Boronia - The Basin,21101,Knox,211,Melbourne - Outer East,2GMEL,Greater Melbourne,2,Victoria,16979606.9390284,791,145.2986133355252,-37.85602637389501,25879,Melbourne,Boronia - The Basin,25879,145.2986133355252,-37.85602637389501,Melbourne,145.3543830336,-37.84856216950001,58539,4977.646458232426
206031114,21114,Essendon - Aberfeldie,20603,Essendon,206,Melbourne - Inner,2GMEL,Greater Melbourne,2,Victoria,8441810.86431737,653,144.90762292083633,-37.75085311475975,25845,Melbourne,Essendon - Aberfeldie,25845,144.90762292083633,-37.75085311475975,Melbourne,144.8993830336,-37.77856216950001,59232,3160.0319732111066
125021476,11476,Carlingford,12502,Carlingford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,9745611.45696938,475,151.0469146073394,-33.77378097602436,25783,Sydney,Carlingford,25783,151.0469146073394,-33.77378097602436,Sydney,151.0593830336,-33.71856216950002,99862,6232.781301168775
209021207,21207,Reservoir - East,20902,Darebin - North,209,Melbourne - North East,2GMEL,Greater Melbourne,2,Victoria,8966624.33659089,746,145.02170120019784,-37.71495907442203,25781,Melbourne,Reservoir - East,25781,145.02170120019784,-37.71495907442203,Melbourne,145.0743830336,-37.70856216950001,59933,4699.190502868931
121011402,11402,Willoughby - Castle Cove - Northbridge,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,10751552.5681575,401,151.21225122811572,-33.79966069662927,25685,Sydney,Willoughby - Castle Cove - Northbridge,25685,151.21225122811572,-33.79966069662927,Sydney,151.23438303359998,-33.78856216950001,99165,2390.8552291317374
119011357,11357,Greenacre - Mount Lewis,11901,Bankstown,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,6982100.14121031,356,151.05846401670746,-33.904384622199835,25662,Sydney,Greenacre - Mount Lewis,25662,151.05846401670746,-33.904384622199835,Sydney,150.9893830336,-33.99856216950002,97065,12243.495820875598
121011398,11398,Chatswood (East) - Artarmon,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,5081455.00905411,397,151.18812415347008,-33.79767119807148,25656,Sydney,Chatswood (East) - Artarmon,25656,151.18812415347008,-33.79767119807148,Sydney,151.1993830336,-33.71856216950002,99864,8836.429913376118
118021348,11348,Coogee - Clovelly,11802,Eastern Suburbs - South,118,Sydney - Eastern Suburbs,1GSYD,Greater Sydney,1,New South Wales,3832501.17247181,347,151.25611624710237,-33.92184338692419,25533,Sydney,Coogee - Clovelly,25533,151.25611624710237,-33.92184338692419,Sydney,151.26938303359998,-33.99856216950002,97069,8597.698324292709
115011293,11293,Cherrybrook,11501,Baulkham Hills,115,Sydney - Baulkham Hills and Hawkesbury,1GSYD,Greater Sydney,1,New South Wales,10286563.5267877,292,151.0416475446472,-33.72216757788101,25531,Sydney,Cherrybrook,25531,151.0416475446472,-33.72216757788101,Sydney,151.0243830336,-33.64856216950001,100560,8319.567527060764
121011400,11400,Lane Cove - Greenwich,12101,Chatswood - Lane Cove,121,Sydney - North Sydney and Hornsby,1GSYD,Greater Sydney,1,New South Wales,9056174.19186866,399,151.1662897350416,-33.821238730533224,25419,Sydney,Lane Cove - Greenwich,25419,151.1662897350416,-33.821238730533224,Sydney,151.30438303359998,-33.78856216950001,99166,13290.613508602339
122031428,11428,Frenchs Forest - Belrose,12203,Warringah,122,Sydney - Northern Beaches,1GSYD,Greater Sydney,1,New South Wales,30131951.4793337,427,151.219160198291,-33.73231572917878,25406,Sydney,Frenchs Forest - Belrose,25406,151.219160198291,-33.73231572917878,Sydney,151.26938303359998,-33.71856216950002,99865,4898.324682476453
210011229,21229,Keilor East,21001,Keilor,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,10891930.3173822,768,144.86435606834868,-37.75164518259782,25394,Melbourne,Keilor East,25394,144.86435606834868,-37.75164518259782,Melbourne,144.82938303359998,-37.77856216950001,59231,4292.039085535928
119011359,11359,Panania - Milperra - Picnic Point,11901,Bankstown,119,Sydney - Inner South West,1GSYD,Greater Sydney,1,New South Wales,14390254.7431985,358,150.9933164820071,-33.95548649053323,25074,Sydney,Panania - Milperra - Picnic Point,25074,150.9933164820071,-33.95548649053323,Sydney,150.9193830336,-33.99856216950002,97064,8337.182544849013
117031337,11337,Sydney - Haymarket - The Rocks,11703,Sydney Inner City,117,Sydney - City and Inner South,1GSYD,Greater Sydney,1,New South Wales,4279443.36093912,336,151.2077208660239,-33.86855989646157,25021,Sydney,Sydney - Haymarket - The Rocks,25021,151.2077208660239,-33.86855989646157,Sydney,151.3743830336,-33.92856216950001,97769,16790.761701652904
210041241,21241,Sunbury - South,21004,Sunbury,210,Melbourne - North West,2GMEL,Greater Melbourne,2,Victoria,131135781.482562,780,144.69690619163984,-37.592759069993335,24940,Melbourne,Sunbury - South,24940,144.69690619163984,-37.592759069993335,Melbourne,144.7243830336,-37.56856216950001,61326,3619.797179676935
116011307,11307,Lalor Park - Kings Langley,11601,Blacktown,116,Sydney - Blacktown,1GSYD,Greater Sydney,1,New South Wales,11815567.4652422,306,150.93915192509192,-33.7618964407683,24881,Sydney,Lalor Park - Kings Langley,24881,150.93915192509192,-33.7618964407683,Sydney,150.8493830336,-33.71856216950002,99859,9607.282736626603
207011153,21153,Kew,20701,Boroondara,207,Melbourne - Inner East,2GMEL,Greater Melbourne,2,Victoria,10533250.5254483,692,145.0341267918484,-37.80372141200285,24856,Melbourne,Kew,24856,145.0341267918484,-37.80372141200285,Melbourne,145.0393830336,-37.77856216950001,59234,2830.6168186299474
505021086,51086,Dianella,50502,Stirling,505,Perth - North West,5GPER,Greater Perth,5,Western Australia,11494077.8164734,1760,115.87103313020688,-31.886813161450082,24843,Perth,Dianella,24843,115.87103313020688,-31.886813161450082,Perth,115.84938303359999,-31.898562169500014,117533,2427.401344941089
212031305,21305,Hampton Park - Lynbrook,21203,Casey - South,212,Melbourne - South East,2GMEL,Greater Melbourne,2,Victoria,13335865.5041178,844,145.2685763700013,-38.038504543099044,24744,Melbourne,Hampton Park - Lynbrook,24744,145.2685763700013,-38.038504543099044,Melbourne,145.2493830336,-38.058562169500014,56441,2791.92269163043
126011495,11495,Epping - North Epping,12601,Pennant Hills - Epping,126,Sydney - Ryde,1GSYD,Greater Sydney,1,New South Wales,8887912.53796848,494,151.08125466874623,-33.76894907706323,24688,Sydney,Epping - North Epping,24688,151.08125466874623,-33.76894907706323,Sydney,151.0943830336,-33.64856216950001,100561,13408.361708296276
123011435,11435,Mount Annan - Currans Hill,12301,Camden,123,Sydney - Outer South West,1GSYD,Greater Sydney,1,New South Wales,26193946.0466197,434,150.75307845051398,-34.059205725522574,24634,Sydney,Mount Annan - Currans Hill,24634,150.75307845051398,-34.059205725522574,Sydney,150.7443830336,-34.06856216950001,96362,1312.0624260457912
127021511,11511,Cabramatta - Lansvale,12702,Fairfield,127,Sydney - South West,1GSYD,Greater Sydney,1,New South Wales,7596937.90055401,510,150.94647375425907,-33.89892476560666,24605,Sydney,Cabramatta - Lansvale,24605,150.94647375425907,-33.89892476560666,Sydney,150.9193830336,-33.85856216950002,98462,5130.848198011503
111011208,11208,Charlestown - Dudley,11101,Lake Macquarie - East,111,Newcastle and Lake Macquarie,1RNSW,Rest of NSW,1,New South Wales,22281463.0113453,207,151.70807832797655,-32.97569086920511,24598,Newcastle - Maitland,Charlestown - Dudley,24598,151.70807832797655,-32.97569086920511,Newcastle - Maitland,151.7243830336,-32.948562169500015,107560,3372.823191440645
309071258,31258,Upper Coomera - Willow Vale,30907,Ormeau - Oxenford,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,125993893.253183,1232,153.24153386880153,-27.861113185280935,24564,Gold Coast - Tweed Heads,Upper Coomera - Willow Vale,24564,153.24153386880153,-27.861113185280935,Gold Coast - Tweed Heads,153.2293830336,-27.838562169500015,158609,2770.8562569079895
125031482,11482,Greystanes - Pemulwuy,12503,Merrylands - Guildford,125,Sydney - Parramatta,1GSYD,Greater Sydney,1,New South Wales,11848935.7524752,481,150.93758187736242,-33.82415704304911,24509,Sydney,Greystanes - Pemulwuy,24509,150.93758187736242,-33.82415704304911,Sydney,150.8493830336,-33.85856216950002,98461,9011.336814757125
